n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.58375,0.875,1.0,1.0,4,0.6097560975609756,extra
41,1.0,0.0,20261011,0.44242424242424244,0.6515151515151515,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.44848484848484854,0.6848484848484848,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.44841269841269843,0.6164021164021163,0.1,0.5,1,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5935483870967742,0.935483870967742,1.0,0.0,9,0.7560975609756098,extra
41,1.0,0.0,20261011,0.5478468899521531,0.7535885167464116,1.0,1.0,3,0.5365853658536586,extra
41,1.0,0.0,20261011,0.3949275362318841,0.7198067632850241,1.0,0.0,9,0.5609756097560976,extra
41,1.0,0.0,20261011,0.49743589743589745,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.5060606060606061,0.6666666666666667,0.01,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.6425000000000001,0.7575000000000001,1.0,1.0,6,0.6097560975609756,extra
41,1.0,0.0,20261011,0.7307692307692307,0.9282051282051282,1.0,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.32407407407407407,0.7645502645502645,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.32967032967032966,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.4244505494505494,0.5,0.01,0.5,0,0.6829268292682927,extra
41,1.0,0.0,20261011,0.3571428571428572,0.7142857142857143,1.0,1.0,5,0.6585365853658537,extra
41,1.0,0.0,20261011,0.6404761904761904,0.7119047619047619,0.01,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.36243386243386244,0.7989417989417988,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.38181818181818183,0.5,0.01,0.5,0,0.7317073170731707,extra
41,1.0,0.0,20261011,0.43846153846153846,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.6,0.7125000000000001,0.01,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4830917874396135,0.5,0.01,0.5,0,0.5609756097560976,extra
41,1.0,0.0,20261011,0.6205128205128205,0.7128205128205128,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.6641025641025642,0.7564102564102564,0.01,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.39999999999999997,0.5,0.01,0.5,0,0.7317073170731707,extra
