n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.41923076923076924,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.3873626373626373,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4889705882352941,0.7965686274509803,1.0,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.5025000000000001,0.73875,0.1,0.5,1,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5748792270531401,0.748792270531401,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4203296703296704,0.7417582417582418,0.1,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.7279411764705883,0.8553921568627451,1.0,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.39251207729468596,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.6207729468599035,0.7463768115942029,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.38846153846153847,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.49206349206349204,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.42149758454106273,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4484848484848485,0.7242424242424241,0.01,0.0,9,0.7317073170731707,copula
41,-1.0,0.0,-1,0.3628472222222222,0.5,0.01,0.5,0,0.7804878048780488,copula
41,-1.0,0.0,-1,0.46625,0.675,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.315,0.745,1.0,0.5,7,0.6097560975609756,copula
41,-1.0,0.0,-1,0.617816091954023,0.882183908045977,1.0,1.0,6,0.7073170731707317,copula
41,-1.0,0.0,-1,0.5608465608465609,0.7671957671957672,1.0,1.0,5,0.6585365853658537,copula
41,-1.0,0.0,-1,0.322463768115942,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4509569377990431,0.5,0.01,0.5,0,0.5365853658536586,copula
41,-1.0,0.0,-1,0.5024154589371981,0.6376811594202898,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.6043956043956045,0.673076923076923,0.01,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.6978021978021978,0.7967032967032968,1.0,0.5,7,0.6829268292682927,copula
41,-1.0,0.0,-1,0.3951149425287356,0.7787356321839081,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.3848039215686274,0.7107843137254902,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.4956896551724138,0.7586206896551724,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4948717948717949,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5036764705882353,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.5560344827586208,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.658974358974359,0.8615384615384616,1.0,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.45384615384615384,0.6846153846153846,1.0,1.0,4,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5564102564102564,0.7615384615384615,0.1,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5717948717948718,0.841025641025641,1.0,0.5,6,0.6341463414634146,copula
41,-1.0,0.0,-1,0.49523809523809526,0.7023809523809524,0.01,0.0,9,0.4878048780487805,copula
41,-1.0,0.0,-1,0.6985294117647058,0.9117647058823529,1.0,0.5,7,0.5853658536585366,copula
41,-1.0,0.0,-1,0.31666666666666665,0.5,0.01,0.5,0,0.5121951219512195,copula
41,-1.0,0.0,-1,0.6231884057971014,0.8792270531400966,1.0,1.0,6,0.43902439024390244,copula
41,-1.0,0.0,-1,0.5531400966183575,0.7777777777777778,1.0,1.0,5,0.43902439024390244,copula
41,-1.0,0.0,-1,0.5449999999999999,0.7025,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.315934065934066,0.6401098901098902,0.01,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.5192307692307693,0.8102564102564103,1.0,0.5,6,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4252450980392157,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.49175824175824173,0.5,0.01,0.5,0,0.6829268292682927,copula
