n,tau,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana,auc_q25,auc_q75,resub_gap_medio
41,1.0,0.5,500,0.6709907834101382,0.218,0.18403314391912312,0.25626714093230635,0.5453463203463205,0.46634615384615385,0.6526525119617226,0.16511282362484342
41,1.0,0.8,500,0.6709907834101382,0.404,0.3618784697205358,0.44758545703739777,0.644927536231884,0.5493405695611577,0.7101727982162764,0.13960882855778958
60,0.5,0.0,500,0.6446655805351457,0.05,0.03409350665098192,0.07276865002683111,0.4769736842105263,0.4359611742424242,0.528239304555094,0.15090045124592666
60,0.5,0.2,500,0.6446655805351457,0.076,0.05586871073410857,0.10259696578009747,0.48710317460317454,0.4406904848927875,0.5576003334046499,0.15215390965272899
60,0.5,0.35,500,0.6446655805351457,0.15,0.12137548023138253,0.1839617527402498,0.5210416666666666,0.4653790904818865,0.6011056844888366,0.1434421933336569
60,0.5,0.5,500,0.6446655805351457,0.22,0.1859003473955845,0.2583694389817214,0.5627174261874197,0.48670966032968593,0.635073526943092,0.1367881152868418
60,0.5,0.8,500,0.6446655805351457,0.544,0.5001730702665284,0.5871559633027523,0.6589136983873827,0.5966056369668902,0.718612294359577,0.10257455465479927
60,0.9,0.0,500,0.6598917682926829,0.05,0.03409350665098192,0.07276865002683111,0.4828418279705044,0.4434285714285714,0.5333176743591679,0.15175801679122647
60,0.9,0.2,500,0.6598917682926829,0.068,0.04906621332682857,0.09352145708387197,0.4939039793158786,0.4449940191387559,0.5631256952169077,0.1518509282777501
60,0.9,0.35,500,0.6598917682926829,0.1,0.07667718662472012,0.1294225082000026,0.5165988226628959,0.4566544566544567,0.595104000531632,0.1479562070540512
60,0.9,0.5,500,0.6598917682926829,0.202,0.16914066023346225,0.2394036124109562,0.5700267452185611,0.49357611199716456,0.6390438988095238,0.13261354213998025
60,0.9,0.8,500,0.6598917682926829,0.518,0.4742313107295171,0.5614942030033705,0.663010463800905,0.5962945703027782,0.7196769280102614,0.10328252210585559
60,1.0,0.0,500,0.6412716978264172,0.05,0.03409350665098192,0.07276865002683111,0.48341421094951254,0.43782502430147535,0.5355965078415736,0.1498721320974081
60,1.0,0.2,500,0.6412716978264172,0.066,0.04737823802541255,0.09123993085941157,0.4987136243386243,0.45142451360389113,0.5610313662945241,0.14072012309990217
60,1.0,0.35,500,0.6412716978264172,0.166,0.13595723820567882,0.20113600697296466,0.5198379629629629,0.46173878205128205,0.613908610312063,0.14486571868486056
60,1.0,0.5,500,0.6412716978264172,0.262,0.22537563309481617,0.30225368532589386,0.569391742285764,0.489003931322208,0.6423958333333334,0.13924546922592482
60,1.0,0.8,500,0.6412716978264172,0.562,0.5182021184950548,0.6048524288071132,0.6562683607520565,0.594158920027341,0.7194732192350333,0.10905219198497033
80,0.5,0.0,500,0.6330944219066936,0.05,0.03409350665098192,0.07276865002683111,0.4788098711453202,0.44274786871270244,0.5309168889621018,0.13173309162307986
80,0.5,0.2,500,0.6330944219066936,0.076,0.05586871073410857,0.10259696578009747,0.49557042644644056,0.4499441964285714,0.557391826923077,0.13069416206499265
80,0.5,0.35,500,0.6330944219066936,0.156,0.12683030337229503,0.19041543417696646,0.5356634106634107,0.4717567155067155,0.6030601343101344,0.12277269854579663
80,0.5,0.5,500,0.6330944219066936,0.278,0.24053595389789068,0.31884937672983044,0.5860593403100951,0.5008147128559085,0.6406978970517974,0.1117777811759725
80,0.5,0.8,500,0.6330944219066936,0.668,0.6255778658042676,0.707860262369349,0.6672554502416559,0.6120408163265306,0.7109673170993925,0.08530467783965542
80,0.9,0.0,500,0.6379166311330945,0.05,0.03409350665098192,0.07276865002683111,0.4872632385679354,0.449063740079365,0.5429429988590263,0.13257464528445548
80,0.9,0.2,500,0.6379166311330945,0.06,0.042348086000950205,0.08436157830624476,0.5,0.4545158617424242,0.5619111400182262,0.1294648933428006
80,0.9,0.35,500,0.6379166311330945,0.136,0.10871499179718816,0.1688357304933095,0.5392809050035612,0.48292529124193884,0.6027006293233473,0.12112465148884684
80,0.9,0.5,500,0.6379166311330945,0.278,0.24053595389789068,0.31884937672983044,0.5912132160626742,0.512415456423067,0.6457404922266674,0.10820951835677121
80,0.9,0.8,500,0.6379166311330945,0.666,0.6235317332195806,0.7059368934281597,0.6742116909459708,0.611,0.7209048366274929,0.0816828655111268
80,1.0,0.0,500,0.6299355096336227,0.05,0.03409350665098192,0.07276865002683111,0.48204817708333336,0.44532812499999996,0.5345757575757576,0.13802250074198902
80,1.0,0.2,500,0.6299355096336227,0.086,0.06447280005130328,0.11384038409228468,0.4953370927318296,0.4545226520518888,0.5643348852898014,0.13275651523690096
80,1.0,0.35,500,0.6299355096336227,0.2,0.16728494139259462,0.23728982972594745,0.5483535558423995,0.4810980205084623,0.6133245738636364,0.11549388801998592
80,1.0,0.5,500,0.6299355096336227,0.348,0.3075495849826609,0.3907682990507337,0.5999572428012967,0.5173158567774936,0.651441984116301,0.1057465441650716
80,1.0,0.8,500,0.6299355096336227,0.716,0.6749432769152115,0.7537628878794382,0.6701040280205193,0.6205013976240391,0.7207673815178886,0.07784149261101495
