n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260811,0.5692307692307692,0.7948717948717948,1.0,1.0,5,0.6341463414634146
41,1.0,0.0,20260811,0.7500000000000001,0.9148351648351648,1.0,0.5,8,0.6829268292682927
41,1.0,0.0,20260811,0.5641025641025641,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260811,0.283068783068783,0.8095238095238095,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.23444976076555024,0.6889952153110047,1.0,0.5,7,0.4634146341463415
41,1.0,0.0,20260811,0.2363636363636364,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260811,0.4064516129032258,0.7258064516129032,0.01,0.0,9,0.7560975609756098
41,1.0,0.0,20260811,0.5925925925925926,0.8174603174603174,1.0,0.5,6,0.6585365853658537
41,1.0,0.0,20260811,0.4340659340659341,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260811,0.6208791208791209,0.8736263736263735,1.0,0.5,9,0.6829268292682927
41,1.0,0.0,20260811,0.23444976076555024,0.6196172248803827,0.01,0.0,9,0.4634146341463415
41,1.0,0.0,20260811,0.6743589743589743,0.8435897435897436,1.0,1.0,4,0.6341463414634146
41,1.0,0.0,20260811,0.3676470588235294,0.6495098039215687,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.5358851674641149,0.7990430622009569,1.0,0.5,7,0.5365853658536586
41,1.0,0.0,20260811,0.3382352941176471,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.6029411764705882,0.8284313725490196,0.1,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.4798850574712643,0.7442528735632185,1.0,1.0,6,0.7073170731707317
41,1.0,0.0,20260811,0.37799043062200954,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260811,0.5871794871794872,0.8846153846153847,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260811,0.44285714285714284,0.6916666666666667,0.1,0.5,1,0.4878048780487805
41,1.0,0.0,20260811,0.5717948717948718,0.8179487179487179,1.0,0.5,6,0.6341463414634146
41,1.0,0.0,20260811,0.823076923076923,0.9076923076923077,1.0,1.0,3,0.6341463414634146
41,1.0,0.0,20260811,0.3875598086124402,0.6937799043062202,0.01,0.0,9,0.5365853658536586
41,1.0,0.0,20260811,0.17892156862745096,0.6299019607843137,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.1568627450980392,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260811,0.6041666666666666,0.9305555555555556,1.0,0.0,9,0.7804878048780488
41,1.0,0.0,20260811,0.4371980676328502,0.753623188405797,1.0,1.0,4,0.5609756097560976
41,1.0,0.0,20260811,0.6129032258064516,0.8548387096774194,1.0,0.0,9,0.7560975609756098
41,1.0,0.0,20260811,0.67989417989418,0.8941798941798942,1.0,0.0,9,0.6585365853658537
41,1.0,0.0,20260811,0.21078431372549022,0.7426470588235294,0.1,0.0,9,0.5853658536585366
41,1.0,0.0,20260811,0.3405797101449275,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260811,0.6038647342995169,0.821256038647343,0.1,0.0,9,0.5609756097560976
41,1.0,0.0,20260811,0.23333333333333334,0.7256410256410256,1.0,0.5,5,0.6341463414634146
41,1.0,0.0,20260811,0.3571428571428572,0.6976190476190476,0.01,0.0,9,0.4878048780487805
41,1.0,0.0,20260811,0.25,0.6551724137931034,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260811,0.20604395604395603,0.7747252747252747,1.0,0.0,9,0.6829268292682927
41,1.0,0.0,20260811,0.7625,0.94,1.0,1.0,5,0.6097560975609756
41,1.0,0.0,20260811,0.39215686274509803,0.5,0.01,0.5,0,0.4146341463414634
41,1.0,0.0,20260811,0.478021978021978,0.7939560439560439,1.0,1.0,5,0.6829268292682927
