n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa
41,1.0,0.0,20260711,0.5214285714285714,0.7642857142857142,1.0,0.5,8,0.4878048780487805
41,1.0,0.0,20260711,0.4880952380952381,0.6402116402116402,0.01,0.0,9,0.6585365853658537
41,1.0,0.0,20260711,0.41267942583732065,0.5,0.01,0.5,0,0.5365853658536586
41,1.0,0.0,20260711,0.4323671497584541,0.7198067632850241,0.1,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.4281609195402299,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.6025641025641025,0.7230769230769231,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.3131868131868132,0.6153846153846154,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.41290322580645156,0.5,0.01,0.5,0,0.7560975609756098
41,1.0,0.0,20260711,0.6400966183574879,0.92512077294686,1.0,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.4238505747126437,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.5419354838709677,0.8935483870967742,1.0,0.5,7,0.7560975609756098
41,1.0,0.0,20260711,0.5285714285714286,0.8666666666666667,1.0,0.0,9,0.5121951219512195
41,1.0,0.0,20260711,0.478021978021978,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.48544973544973546,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.8544973544973544,0.9523809523809523,1.0,1.0,4,0.6585365853658537
41,1.0,0.0,20260711,0.5346153846153846,0.764102564102564,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.3382352941176471,0.7720588235294118,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.45977011494252873,0.7068965517241379,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.4641025641025641,0.7717948717948719,1.0,0.5,9,0.6341463414634146
41,1.0,0.0,20260711,0.50125,0.85,1.0,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.6,0.8048387096774193,0.1,0.5,1,0.7560975609756098
41,1.0,0.0,20260711,0.42149758454106284,0.5,0.01,0.5,0,0.5609756097560976
41,1.0,0.0,20260711,0.48901098901098894,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.5066137566137565,0.7923280423280423,0.1,0.5,1,0.6585365853658537
41,1.0,0.0,20260711,0.53625,0.7050000000000001,0.1,0.5,1,0.6097560975609756
41,1.0,0.0,20260711,0.6076923076923078,0.7897435897435898,0.1,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.6764705882352942,0.8333333333333333,1.0,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5151515151515151,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.4203296703296703,0.6263736263736264,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.5689655172413792,0.8017241379310345,0.1,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.4835164835164836,0.8763736263736264,1.0,0.5,7,0.6829268292682927
41,1.0,0.0,20260711,0.4449760765550239,0.6148325358851675,0.01,0.0,9,0.5365853658536586
41,1.0,0.0,20260711,0.5931372549019608,0.8480392156862745,1.0,0.5,8,0.5853658536585366
41,1.0,0.0,20260711,0.46703296703296704,0.771978021978022,1.0,1.0,3,0.6829268292682927
41,1.0,0.0,20260711,0.4523809523809524,0.6547619047619048,0.01,0.0,9,0.4878048780487805
41,1.0,0.0,20260711,0.5847701149425287,0.7873563218390803,0.1,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.6614832535885167,0.7667464114832536,0.1,0.5,3,0.5365853658536586
41,1.0,0.0,20260711,0.4547619047619048,0.6904761904761906,0.01,0.0,9,0.4878048780487805
41,1.0,0.0,20260711,0.495,0.71,0.01,0.0,9,0.3902439024390244
41,1.0,0.0,20260711,0.37254901960784315,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260711,0.6071428571428572,0.7142857142857143,0.01,0.0,9,0.5121951219512195
41,1.0,0.0,20260711,0.5818181818181818,0.8060606060606061,1.0,1.0,4,0.7317073170731707
41,1.0,0.0,20260711,0.47419354838709676,0.5,0.01,0.5,0,0.7560975609756098
41,1.0,0.0,20260711,0.5431034482758621,0.7011494252873562,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.4074074074074074,0.5,0.01,0.5,0,0.6585365853658537
41,1.0,0.0,20260711,0.4827586206896552,0.6580459770114943,0.01,0.0,9,0.7073170731707317
41,1.0,0.0,20260711,0.48461538461538456,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.5769230769230769,0.8351648351648352,1.0,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.5602564102564104,0.7230769230769231,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.4410919540229885,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.535,0.7200000000000001,0.01,0.0,9,0.6097560975609756
41,1.0,0.0,20260711,0.6051282051282052,0.8820512820512821,1.0,1.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.3350694444444444,0.5,0.01,0.5,0,0.7804878048780488
41,1.0,0.0,20260711,0.5096774193548388,0.8516129032258064,1.0,0.0,9,0.7560975609756098
41,1.0,0.0,20260711,0.45192307692307687,0.5,0.01,0.5,0,0.6829268292682927
41,1.0,0.0,20260711,0.35661764705882354,0.6225490196078431,0.01,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.45215311004784686,0.6794258373205742,0.01,0.0,9,0.4634146341463415
41,1.0,0.0,20260711,0.5,0.7974358974358975,1.0,0.5,8,0.6341463414634146
41,1.0,0.0,20260711,0.7105263157894737,0.80622009569378,0.1,0.0,9,0.5365853658536586
41,1.0,0.0,20260711,0.396969696969697,0.5,0.01,0.5,0,0.7317073170731707
41,1.0,0.0,20260711,0.4464285714285714,0.6538461538461537,0.01,0.0,9,0.6829268292682927
41,1.0,0.0,20260711,0.5307692307692308,0.764102564102564,1.0,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.4602564102564103,0.5,0.01,0.5,0,0.6341463414634146
41,1.0,0.0,20260711,0.6421568627450981,0.8161764705882353,1.0,1.0,6,0.5853658536585366
41,1.0,0.0,20260711,0.5410256410256411,0.8076923076923077,0.1,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.32375,0.7575000000000001,1.0,1.0,3,0.6097560975609756
41,1.0,0.0,20260711,0.3933823529411765,0.5,0.01,0.5,0,0.5853658536585366
41,1.0,0.0,20260711,0.5490196078431373,0.7549019607843137,0.1,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5435897435897437,0.7128205128205128,0.1,0.5,1,0.6341463414634146
41,1.0,0.0,20260711,0.4794871794871795,0.6487179487179489,0.01,0.0,9,0.6341463414634146
41,1.0,0.0,20260711,0.44565217391304346,0.7101449275362319,0.01,0.0,9,0.5609756097560976
41,1.0,0.0,20260711,0.47270114942528735,0.5,0.01,0.5,0,0.7073170731707317
41,1.0,0.0,20260711,0.5220588235294117,0.7794117647058824,0.1,0.0,9,0.5853658536585366
41,1.0,0.0,20260711,0.5277777777777778,0.6840277777777778,0.01,0.0,9,0.7804878048780488
